"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @SaudiNews50: #ַבדׁזׁ:

.
׃םÊד ַ׃Êַָֿב ׁ־ױ #Þםַֹֿ_ַבדֳֹׁ ׃ַׁםֹ ַבדÝÚזב ַבױַֹֿׁ דה ַבֿזב ַב־בםּםֹ ָׁ־ױ ׃Úזֿםֹ דדַֻבֹ .

.
#Þםַֹֿ_ַבדֳֹׁ_ב…",FALSE,0,NA,2017-12-18 17:50:24,FALSE,NA,"942814315169615872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MahaKha81722072",215,TRUE,FALSE,NA,NA
"RT @qpostscom: #הזַׁ_ַבֿז׃ׁם ÝÊַֹ ׃Úזֿםֹ ÊÚבדÊ ַבÞםַֹֿ Ýם דדבßֹ #ַבָֽׁםה Úַד 2010 זַֽׂÊ Úבל ׁ־ױֹ Þםַֹֿ ֿזבםֹ¡ ÊÊ״זזÚ ַבֲה Ýם #ַב׃Úזֿםֹ בÊֿׁ…",FALSE,0,NA,2017-12-18 17:28:08,FALSE,NA,"942808713223655424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Xx2200XZ",5,TRUE,FALSE,NA,NA
"RT @SaudiNews50: #ַבדׁזׁ:

.
׃םÊד ַ׃Êַָֿב ׁ־ױ #Þםַֹֿ_ַבדֳֹׁ ׃ַׁםֹ ַבדÝÚזב ַבױַֹֿׁ דה ַבֿזב ַב־בםּםֹ ָׁ־ױ ׃Úזֿםֹ דדַֻבֹ .

.
#Þםַֹֿ_ַבדֳֹׁ_ב…",FALSE,0,NA,2017-12-18 17:27:02,FALSE,NA,"942808438773600256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Xx2200XZ",215,TRUE,FALSE,NA,NA
"RT @jnooob_07: ַבבם ״ַבָזַ ַָבÞַׁׁ דÊּה׃ַÊ זה׃ֱַ םָזה ַבÝ׃ַֿ בב׃Úזֿםֹ בֳה ד׃Êֽםב ׃Úזֿםֹ Êׁײל ַָבÝ׃ַֿ ָז״הוַ זֵה װֱַ ַבבו ָםהבÛם ַבÞַׁׁ זַבב…",FALSE,0,NA,2017-12-18 17:24:01,FALSE,NA,"942807677784162304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fc514cfc5a1749b",50,TRUE,FALSE,NA,NA
"RT @ahmedalwadai1: דה ֽÞ ַבדֳֹׁ ַב׃Úזֿםֹ ַה Ê׃Êָֿב ׁ־ױֹ ַבÞםַֹֿ ַבÊם ֽױבÊ Úבםוַ דה ַףם ֿזבֹ ־בםּםֹ ַבל ׁ־ױֹ ׃Úזֿםֹ זםװדב ַםײַ ֿזב ַ־ׁל ַבÊם…",FALSE,0,NA,2017-12-18 04:10:17,FALSE,NA,"942607928082796544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mon5513",4,TRUE,FALSE,NA,NA
"RT @SaudiNews50: #ַבדׁזׁ:

.
׃םÊד ַ׃Êַָֿב ׁ־ױ #Þםַֹֿ_ַבדֳֹׁ ׃ַׁםֹ ַבדÝÚזב ַבױַֹֿׁ דה ַבֿזב ַב־בםּםֹ ָׁ־ױ ׃Úזֿםֹ דדַֻבֹ .

.
#Þםַֹֿ_ַבדֳֹׁ_ב…",FALSE,0,NA,2017-12-18 00:44:46,FALSE,NA,"942556206350192640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","uirvm",215,TRUE,FALSE,NA,NA
"RT @jnooob_07: ַבבם ״ַבָזַ ַָבÞַׁׁ דÊּה׃ַÊ זה׃ֱַ םָזה ַבÝ׃ַֿ בב׃Úזֿםֹ בֳה ד׃Êֽםב ׃Úזֿםֹ Êׁײל ַָבÝ׃ַֿ ָז״הוַ זֵה װֱַ ַבבו ָםהבÛם ַבÞַׁׁ זַבב…",FALSE,0,NA,2017-12-17 20:57:07,FALSE,NA,"942498919812038657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jnooo_07",50,TRUE,FALSE,NA,NA
"RT @saad_alsuraihi: ÝÊַֹ ׃Úזֿםֹ Ê״בÞ דַָֹֿׁ בÊÚבםד Þםַֹֿ ַב׃םַֹׁ בבה׃ֱַ דַּהַנ ...
#Þםַֹֿ_ַבדַֹׁ_ַב׃Úזֿםֹ 
#Þםַֹֿ_ַבדֳֹׁ_בב׃םַֹׁ https://t.…",FALSE,0,NA,2017-12-17 20:25:20,FALSE,NA,"942490921018552322",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","saad_alsuraihi",6,TRUE,FALSE,NA,NA
"RT @talal_alkwauity: #Þםַֹֿ_ַבדַֹׁ_ַב׃Úזֿםֹ 

ו׀ַ ֳזב ַב־םׁ <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> 
#׃Úזֿםו https://t.co/Z67y9BQwKY",FALSE,0,NA,2017-12-17 19:35:18,FALSE,NA,"942478329818599424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abooo_duij",6,TRUE,FALSE,NA,NA
"RT @talal_alkwauity: #Þםַֹֿ_ַבדַֹׁ_ַב׃Úזֿםֹ 

ו׀ַ ֳזב ַב־םׁ <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> 
#׃Úזֿםו https://t.co/Z67y9BQwKY",FALSE,0,NA,2017-12-17 19:14:45,FALSE,NA,"942473156794703872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ABO__HAYA",6,TRUE,FALSE,NA,NA
