"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"New post: <U+091C><U+0940><U+0921><U+0940><U+091F><U+0940> <U+0928><U+0947> <U+092C><U+0924><U+093E><U+092F><U+0947> <U+0938><U+090A><U+0926><U+0940> <U+092E><U+0939><U+093F><U+0932><U+093E><U+0913><U+0902> <U+0915><U+0947> <U+0921><U+094D><U+0930><U+093E><U+0907><U+0935><U+093F><U+0902><U+0917> <U+0938><U+092E><U+094D><U+092C><U+0902><U+0927><U+093F><U+0924> <U+0915><U+0941><U+091B> <U+0906><U+0935><U+0936><U+094D><U+092F><U+0915> <U+092C><U+093E><U+0924><U+0947><U+0902> https://t.co/puwW3sIEaI",FALSE,0,NA,2017-12-19 12:10:45,FALSE,NA,"943091227385266176",NA,"<a href=""http://www.worldnewsarabia.com/"" rel=""nofollow"">News Arabia</a>","WorldArabiaNews",0,FALSE,FALSE,NA,NA
"KAU to have driving school for women - Saudi Gazette https://t.co/5MfJWZu9Xl",FALSE,0,NA,2017-12-19 12:03:15,FALSE,NA,"943089341240414208",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","AccurateDrivers",0,FALSE,FALSE,NA,NA
"RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…",FALSE,0,NA,2017-12-19 11:52:15,FALSE,NA,"943086573914087424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EricaBurnam",51,TRUE,FALSE,NA,NA
"RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…",FALSE,0,NA,2017-12-19 11:31:33,FALSE,NA,"943081364123017216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FieldsieScience",51,TRUE,FALSE,NA,NA
"RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…",FALSE,0,NA,2017-12-19 11:11:00,FALSE,NA,"943076194349649921",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","GothicGlass",51,TRUE,FALSE,NA,NA
"RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…",FALSE,0,NA,2017-12-19 11:09:32,FALSE,NA,"943075823686443010",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Adeena_Mc2",51,TRUE,FALSE,NA,NA
"RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…",FALSE,0,NA,2017-12-19 11:02:28,FALSE,NA,"943074043351183361",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DeniseFriars",51,TRUE,FALSE,NA,NA
"I liked a @YouTube video https://t.co/i1KvsvmvVT Saudi women excited to buy cars and start driving",FALSE,0,NA,2017-12-19 10:48:13,FALSE,NA,"943070458521489408",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","AperturesSky",0,FALSE,FALSE,NA,NA
"RT @CICSaudi: The General Department of Traffic [@eMoroor] answers important questions regarding procedures and regulations about women dri…",FALSE,0,NA,2017-12-19 10:36:43,FALSE,NA,"943067564577624064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","daniaalajlani",12,TRUE,FALSE,NA,NA
"Saudi still stones women for stealing, prevents them from driving cars, and jails protesters for speaking out against the Government (12)",FALSE,0,NA,2017-12-19 10:19:49,FALSE,NA,"943063312899510273",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","waltzwalton",0,FALSE,FALSE,NA,NA
"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/WjUYN5cLFS",FALSE,0,NA,2017-12-19 08:47:17,TRUE,NA,"943040024261595136",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","RojerAils",0,FALSE,FALSE,NA,NA
"Saudi women can rev up motorbikes, trucks after driving ban lifted

 Saudi women will not only be allowed to get be… https://t.co/PiaIIHv2K3",FALSE,0,NA,2017-12-19 07:39:11,TRUE,NA,"943022888923299840",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","banglanews_eng",0,FALSE,FALSE,NA,NA
