,score,text,,,,,,,,,,,,,,,,,,
29,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/WesudS3yPp",,,,,,,,,,,,,,,,,,
30,0,"RT @WIshinwelmantra: @DrHorseshark This is how Saudi &amp; islamists treat ""migrant workers""   for years. https://t.co/2H5u9z1WPp These jerks h…",,,,,,,,,,,,,,,,,,
31,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
32,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
33,1,"Not anymore TBH
Alot of expats ive spoken to say the Saudi women (other than few restrictions like driving ban) are… https://t.co/lCbXsUvkwm",,,,,,,,,,,,,,,,,,
34,-1,Empowering Women all over the world. Saudi Women driving. USA women standing against objectification and sexual crime.,,,,,,,,,,,,,,,,,,
35,0,KAU to have driving school for women - Saudi Gazette https://t.co/dbR5iTPuES,,,,,,,,,,,,,,,,,,
36,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
37,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
38,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
39,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
40,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/z87QH33Qt7",,,,,,,,,,,,,,,,,,
41,0,KAU to have driving school for women - Saudi Gazette https://t.co/vaeJqIuFZa,,,,,,,,,,,,,,,,,,
42,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/oX7Fkaqw2b",,,,,,,,,,,,,,,,,,
43,0,"RT @savs66: News from Saudi Arabia..
The first Women passes her Driving Test Today in Riyahd https://t.co/yVsLbe0xZI",,,,,,,,,,,,,,,,,,
44,0,"""When #women do not know #driving etiquette and basics and therefore the skills required, they should not be giving… https://t.co/TYX4eXy9j3",,,,,,,,,,,,,,,,,,
45,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/2ZUJm0RhKw",,,,,,,,,,,,,,,,,,
46,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/iAwZghlZP5",,,,,,,,,,,,,,,,,,
47,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
48,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/7ZXDSyoi6x",,,,,,,,,,,,,,,,,,
49,-1,"@DrHorseshark This is how Saudi &amp; islamists treat ""migrant workers""   for years. https://t.co/2H5u9z1WPp These jerk… https://t.co/VShk3w8Qb7",,,,,,,,,,,,,,,,,,
50,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/1iRCfW4xlj",,,,,,,,,,,,,,,,,,
51,0,KAU to have driving school for women - Saudi Gazette https://t.co/XG2LQbzuCS,,,,,,,,,,,,,,,,,,
52,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/mAAUGM7gvE",,,,,,,,,,,,,,,,,,
53,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/e5lxNjuIFv",,,,,,,,,,,,,,,,,,
54,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
55,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/Vx65gmd8LG",,,,,,,,,,,,,,,,,,
56,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/fzujPQKGLN",,,,,,,,,,,,,,,,,,
57,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
58,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/Eal2no3Ok3",,,,,,,,,,,,,,,,,,
59,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
60,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
61,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
